Rank,Status,Points,Lower,Upper
1,Away,35.526315789473685,33.54098950197426,37.51164207697311
1,Home,45.05263157894737,42.45146225125164,47.6538009066431
1,Total,80.57894736842105,78.28569956082347,82.87219517601864
10,Away,22.36842105263158,20.565888720877847,24.17095338438531
10,Home,25.31578947368421,22.991747823746913,27.639831123621505
10,Total,47.68421052631579,45.620923535470276,49.7474975171613
11,Away,24.894736842105264,22.3830099600927,27.406463724117827
11,Home,25.736842105263158,23.10016867390581,28.373515536620506
11,Total,50.631578947368425,48.057378790683465,53.205779104053384
12,Away,20.736842105263158,18.301718995150754,23.17196521537556
12,Home,23.31578947368421,20.803364210765054,25.828214736603364
12,Total,44.05263157894737,41.57885739243159,46.52640576546315
13,Away,23.263157894736842,21.538550981307594,24.98776480816609
13,Home,20.57894736842105,18.356257359177075,22.801637377665028
13,Total,43.84210526315789,41.86845680182128,45.8157537244945
14,Away,27.05263157894737,24.08063754496754,30.0246256129272
14,Home,19.842105263157894,17.74839426805992,21.93581625825587
14,Total,46.89473684210526,44.36188432756636,49.42758935664416
15,Away,24.473684210526315,21.155825392779104,27.791543028273527
15,Home,20,18.255166356226347,21.744833643773653
15,Total,44.473684210526315,41.94233797976588,47.00503044128675
16,Away,23.42105263157895,21.391735343678715,25.450369919479183
16,Home,19.94736842105263,17.95029453820121,21.94444230390405
16,Total,43.368421052631575,41.35522546725575,45.3816166380074
17,Away,23.31578947368421,20.300817089145312,26.330761858223106
17,Home,15.68421052631579,12.557079673853575,18.811341378778003
17,Total,39,35.928948381499445,42.071051618500555
18,Away,25.57894736842105,22.040850612399424,29.11704412444268
18,Home,14.105263157894736,12.179445946988011,16.03108036880146
18,Total,39.68421052631579,36.95225354285161,42.41616750977997
19,Away,24.526315789473685,22.043627188368326,27.009004390579044
19,Home,15.68421052631579,13.403603240822893,17.964817811808686
19,Total,40.21052631578947,37.828878372490344,42.5921742590886
2,Away,33.10526315789474,28.769636234517517,37.44089008127196
2,Home,42.578947368421055,39.729714374267935,45.428180362574174
2,Total,75.6842105263158,72.09178056755063,79.27664048508096
20,Away,23.263157894736842,19.913723099089612,26.612592690384073
20,Home,15.052631578947368,11.785034146206282,18.320229011688454
20,Total,38.31578947368421,35.00727335949006,41.62430558787837
3,Away,32.78947368421053,29.98242324580678,35.59652412261428
3,Home,41.578947368421055,38.72192565002002,44.43596908682209
3,Total,74.36842105263159,71.5363849742292,77.20045713103399
4,Away,31.36842105263158,28.27286679848728,34.46397530677588
4,Home,38.68421052631579,36.418266369021396,40.95015468361018
4,Total,70.05263157894737,67.37188237322802,72.73338078466672
5,Away,25.31578947368421,22.253282760479966,28.378296186888452
5,Home,32.78947368421053,29.813350376697805,35.76559699172325
5,Total,58.10526315789474,55.08594814753626,61.12457816825322
6,Away,26.263157894736842,23.12967525551696,29.396640533956724
6,Home,30.789473684210527,28.066815883994714,33.51213148442634
6,Total,57.05263157894737,54.124561359229524,59.980701798665216
7,Away,23.57894736842105,19.84229470869802,27.315600028144083
7,Home,27.736842105263158,24.82387452615091,30.649809684375406
7,Total,51.315789473684205,47.990979354266564,54.64059959310185
8,Away,22.473684210526315,19.34543151736345,25.60193690368918
8,Home,27.105263157894736,25.12820171984468,29.082324595944794
8,Total,49.578947368421055,47.026290302814594,52.131604434027516
9,Away,21.842105263157894,19.33760638715834,24.34660413915745
9,Home,24.263157894736842,22.088341911393996,26.43797387807969
9,Total,46.10526315789474,43.76560572822354,48.44492058756594
